#	type	pilot	lemma	freq	spec	semScore	isDico	isDistrib
193	T	hand side	hand side	6459	3.00			
194	T	singular	singular	6456	3.00			
195	T	flow rate	flow rate	6448	3.00			
196	T	Fourier	fourier	6410	2.99			
197	T	exponential	exponential	6387	2.99			
198	T	dipole	dipole	6368	2.99			
199	T	regression	regression	6301	2.99			
200	T	kinematic	kinematic	6291	2.99			
201	T	modulus	modulus	6288	2.99			
202	T	DESY	desy	6257	2.98			
203	T	iterative	iterative	6250	2.98			
204	T	Bibliography	bibliography	6222	2.98			
205	T	Comput	comput	6220	2.98			
206	T	muon	muon	6213	2.98			
207	T	nite	nite	6203	2.98			
208	T	tritium	tritium	6198	2.98			
209	T	measured	measured	6149	2.98			
210	T	regularization	regularization	6149	2.98			
211	T	quark mass	quark mass	6142	2.98			
212	T	orthogonal	orthogonal	6133	2.98			
213	T	activation	activation	6106	2.97			
214	T	saturation	saturation	6105	2.97			
215	T	modified	modified	6100	2.97			
216	T	functionality	functionality	6098	2.97			
217	T	empirical	empirical	6093	2.97			
218	T	Thomas	thoma	6067	2.97			
219	T	electromagnetic	electromagnetic	6046	2.97			
220	T	oscillator	oscillator	6031	2.97						
222	T	analytic	analytic	6016	2.97			
223	T	luminosity	luminosity	5993	2.97			
224	T	subspace	subspace	5940	2.96			
225	T	transform	transform	5936	2.96			
226	T	radionuclides	radionuclide	5918	2.96			
227	T	harmonic	harmonic	5872	2.96									
230	T	erent	erent	5827	2.95			
231	T	Standard Model	standard model	5810	2.95			
232	T	optimal control	optimal control	5807	2.95			
233	T	pion	pion	5801	2.95			
234	T	factorization	factorization	5794	2.95			
235	T	calorimeter	calorimeter	5759	2.95			
236	T	erence	erence	5739	2.95			
237	T	upper bound	upper bound	5691	2.94			
238	T	supersymmetric	supersymmetric	5684	2.94			
239	T	metrics	metric	5667	2.94						
241	T	infrared	infrared	5638	2.94			
242	T	differential equations	differential equation	5632	2.94			
243	T	proof of Theorem	proof of theorem	5628	2.94			
244	T	convection	convection	5618	2.94			
245	T	wurden	wurden	5591	2.94			
246	T	logarithmic	logarithmic	5565	2.93			
247	T	manifold	manifold	5553	2.93			
248	T	erential	erential	5549	2.93			
249	T	deterministic	deterministic	5505	2.93			
250	T	viscosity	viscosity	5498	2.93			
251	T	positron	positron	5477	2.93			
252	T	colloids	colloid	5472	2.93			
253	T	Lagrangian	lagrangian	5437	2.92			
254	T	modulation	modulation	5437	2.92			
255	T	bulk	bulk	5429	2.92			
256	T	isotope	isotope	5419	2.92			
257	T	numerically	numerically	5412	2.92						
259	T	propagator	propagator	5398	2.92			
260	T	fluorescence	fluorescence	5394	2.92			
261	T	sequential	sequential	5394	2.92						
263	T	standard deviation	standard deviation	5359	2.92			
264	T	order of magnitude	order of magnitude	5354	2.92					
266	T	two-dimensional	two-dimensional	5349	2.92			
267	T	heuristic	heuristic	5344	2.92			
268	T	visualization	visualization	5314	2.91					
270	T	Millimeter	millimeter	5306	2.91			
271	T	coordination	coordination	5302	2.91			
272	T	parabolic	parabolic	5298	2.91			
273	T	topological	topological	5297	2.91			
274	T	tropical	tropical	5286	2.91									
278	T	heat transfer	heat transfer	5231	2.91			
279	T	Universität	universität	5215	2.91			
280	T	equivalence	equivalence	5215	2.91			
281	T	waveguide	waveguide	5208	2.90			
282	T	matrix	matrix	72905	2.90			
283	T	degrees of freedom	degree of freedom	5197	2.90			
284	T	realization	realization	5195	2.90			
285	T	vortex	vortex	5188	2.90			
286	T	ITER	iter	5177	2.90			
287	T	complexation	complexation	5150	2.90			
288	T	form factors	form factor	5145	2.90			
289	T	Higgs boson	higgs boson	5136	2.90			
290	T	photoproduction	photoproduction	5116	2.90			
291	T	curvature	curvature	5115	2.90			
292	T	solubility	solubility	5115	2.90			
293	T	retrieval	retrieval	5114	2.90			
294	T	incoming	incoming	5088	2.89					
296	T	good agreement	good agreement	5065	2.89			
